text,label
My sleep has changed,YES
i have pain.,YES
i feel sad sometimes.,YES
I've had trouble resting,YES
i'm okay for now,NO
i feel uneasy honestly,YES
my energy has been low,YES
maybe yes,YES
maybe a little,YES
i think so,YES
probably yes,YES
kind of,YES
a bit yes,YES
slightly,YES
sometimes yes,YES
i guess so,YES
perhaps a little,YES
a little bit,YES
sort of,YES
maybe sometimes,YES
"yes, actually",YES
Not great.,YES
A bit sore.,YES
Feeling bad.,YES
It hurts.,YES
No pain.,NO
All good!,NO
Doing fine.,NO
Not at all.,NO
Perfectly fine.,NO
Healthy.,NO
I feel a lot of tightness.,YES
My body is quite uncomfortable today.,YES
I am hurting quite a bit.,YES
It has been tough this week.,YES
I have some minor swelling here.,YES
Things are a bit difficult lately.,YES
My back has been aching constantly.,YES
I am experiencing some physical tension.,YES
I haven't been feeling very well.,YES
There is a lot of inflammation.,YES 
I am feeling totally fine today.,NO
No physical issues to report here.,NO
My body feels really good lately.,NO
I feel great this whole week.,NO
Everything is going smoothly right now.,NO
No aches or pains at all.,NO
"I am doing very well, thanks.",NO
I haven't noticed any discomfort lately.,NO
My physical health is quite good.,NO
I feel completely healthy right now.,NO
"To be honest, I've been feeling a lot of physical discomfort over the last couple of days.",YES
My body has been aching quite a bit and I feel very tender.,YES
I have noticed a lot of tightness and soreness when trying to move around today.,YES
It feels like my body is under a lot of physical stress and hurts.,YES
I am definitely feeling some heavy inflammation and aching in my muscles this week. ,YES
Lately I have just been dealing with a lot of general body aches.,YES
I would say things are not going well and my physical comfort is low.,YES
I have been experiencing some pretty bad soreness that won't seem to go away.,YES
My physical well-being hasn't been great because I feel quite uncomfortable and stiff.,YES
"Yes, my body has definitely been feeling a lot weaker and more sore lately.",YES
I've been waking up with quite a bit of tension and swelling in my joints.,YES
It has been hard to stay comfortable because my body is aching so much.,YES
I am hurting a bit today and things just feel heavy for me physically.,YES
"To be completely honest, I have felt much better than I do right now.",YES
"No, I haven't noticed any soreness or physical discomfort during this past week.",NO
My body feels completely relaxed and I haven't had any aches at all.,NO
I'm happy to say that I am feeling very healthy and comfortable today.,NO
"Everything is completely fine and my body feels totally normal right now, thank you.",NO
I am doing great and haven't had any issues with physical discomfort lately.,NO
"No aches or tightness to speak of, everything is moving along very well.",NO
I feel wonderful and my body has been treating me very well this week.,NO
"Fortunately, I am not experiencing any swelling, soreness, or inflammation at all right now. ",NO
My physical comfort has actually been really high over the last few days.,NO
I feel completely healthy and I haven't had any trouble with my body lately.,NO
"No, thank goodness, I have been feeling totally comfortable and full of energy.",NO
I am doing perfectly well and haven't noticed any physical issues today.,NO
Everything feels good and I have been free from any kind of body aches.,NO
I have been having some disturbed sleep lately. ,YES
I am sleeping through the night perfectly fine.,NO
I feel completely wiped out and have no energy to move.,YES
My energy levels are great because of my regular physical activity. ,NO
I'm having a really hard time focusing or paying attention today. ,YES
I am having trouble with my diet and keeping food down. ,YES
My appetite is normal and I am managing my diet well. ,NO
"No, I don't use any of those things.",NO
I feel a lot of tension and panic when thinking about tomorrow.,YES
I feel very calm because I have great social support around me. ,NO
I just feel really down and heavy in my heart this week.,YES
Practicing relaxation exercises is keeping my spirits up. ,NO
Nothing sounds fun to me right now and I don't want to do my hobbies.,YES
I feel very left out and like I am going through this all by myself.,YES
I am feeling very comfortable with how my body looks right now.,NO
I feel like a major weight on my family and it makes me sad.,YES
My partner and I are having a lot of arguments lately.,YES
My spouse is being incredibly loving and helpful through this.,NO
I feel like my friends are pulling away from me.,YES
I am very happy with how my doctors listen to me.,NO
I worry about whether I can still start a family later on.,YES
People are treating me differently at church and it hurts.,YES
"Everyone treats me normally, just like they always have.",NO
It is getting very hard to dress myself or wash up in the morning.,YES
I am managing my household and taking care of my kids just fine.,NO
I feel a bit unsteady on my feet and am worried about falling down.,YES
The medical costs are getting very high and I am stressed about the bills.,YES
Everything is covered and we are doing okay with the costs.,NO
I can pick up my prescriptions easily from the local pharmacy.,NO
I am feeling very unsure about which medical path I should choose next.,YES
I feel a very strong sense of direction and hope in my life.,NO
I am having a lot of spiritual questions and deep doubts right now.,YES
I have a lot of fear about what happens when my life comes to an end.,YES
My treatment plan goes perfectly well with my religious values.,NO
I feel completely loved and watched over by God.,NO
I am struggling because I cannot attend my usual prayer services.,YES
I've been having pain on and off lately.,YES
My body has been feeling comfortable recently.,NO
"Some days are okay, but the pain gets tiring.",YES
I feel physically alright most days.,NO
I've been struggling to sleep properly.,YES
My sleep has been fairly normal lately.,NO
I wake up feeling tired often.,YES
I've been resting well recently.,NO
I've been feeling exhausted these days.,YES
My energy levels feel normal lately.,NO
Even small tasks make me feel tired now.,YES
I've been managing my daily routine well.,NO
I've been smoking more when stressed.,YES
I haven't been using tobacco recently.,NO
I still depend on smoking sometimes.,YES
I've been avoiding tobacco lately.,NO
I've been relying on substances to cope.,YES
I haven't used any substances recently.,NO
Some days I feel dependent on them.,YES
I've been staying away from substances.,NO
I've been forgetting things often lately.,YES
My concentration has been okay recently.,NO
It feels hard to focus sometimes.,YES
I've been able to focus fairly well.,NO
I've noticed changes that worry me.,YES
Things have felt normal lately.,NO
I feel uncomfortable discussing these changes.,YES
I feel okay about this part of my life.,NO
I've lost interest in eating lately.,YES
My eating habits feel stable.,NO
Food doesn't feel appealing anymore.,YES
I've been eating normally these days.,NO
I struggle with activities I used to do easily.,YES
I've been physically comfortable lately.,NO
It feels frustrating not moving the same way.,YES
I've been managing physical tasks fairly well.,NO
I've been worrying a lot recently.,YES
I feel emotionally calm most days.,NO
My thoughts feel heavy sometimes.,YES
I've been feeling emotionally steady lately.,NO
I've been feeling low lately.,YES
I've been emotionally okay recently.,NO
Some days feel emotionally difficult.,YES
I still find moments of comfort daily.,NO
I don't enjoy things the same way anymore.,YES
I still enjoy spending time doing things I like.,NO
Activities feel less meaningful lately.,YES
I've been enjoying my hobbies recently.,NO
I've been thinking a lot about what I've lost.,YES
I've been coping fairly well emotionally.,NO
Feelings of loss still feel strong sometimes.,YES
I've found support while handling these feelings.,NO
I've been feeling afraid about the future.,YES
I feel emotionally stable lately.,NO
Some thoughts make me nervous often.,YES
I've been feeling more reassured recently.,NO
I feel alone even around people sometimes.,YES
I feel supported by people around me.,NO
I've been feeling isolated lately.,YES
I've had meaningful company recently.,NO
I've been getting irritated more easily lately.,YES
I've been emotionally calm recently.,NO
Small things upset me these days.,YES
I've been handling emotions fairly well.,NO
Changes in my appearance have been difficult emotionally.,YES
I've been comfortable with my appearance lately.,NO
I feel self-conscious sometimes now.,YES
I've been adjusting well recently.,NO
Sometimes I feel like I'm troubling others.,YES
I still feel valued by people around me.,NO
I feel emotionally heavy at times.,YES
I feel supported and cared for.,NO
Things have felt emotionally distant lately.,YES
We've been communicating well recently.,NO
I worry about my relationship with my children.,YES
I feel connected with my children lately.,NO
Family interactions have been stressful sometimes.,YES
My family has been supportive recently.,NO
I've been feeling disconnected socially.,YES
I've felt supported by friends lately.,NO
Sometimes I struggle to express my concerns clearly.,YES
I feel heard by my health care team.,NO
Thinking about this has been emotionally difficult.,YES
I've been coping with these thoughts fairly well.,NO
I've felt judged in some situations lately.,YES
I feel respected by people around me.,NO
Daily self-care feels difficult sometimes.,YES
I've been managing my personal care well.,NO
Supporting others has felt emotionally tiring lately.,YES
I've been balancing responsibilities fairly well.,NO
I've been feeling uneasy in certain situations.,YES
I feel safe and comfortable lately.,NO
Work-related stress has been difficult recently.,YES
I've been managing work responsibilities well.,NO
Keeping up with school has felt overwhelming.,YES
School responsibilities feel manageable lately.,NO
Housing concerns have been stressful recently.,YES
My living situation feels stable currently.,NO
Financial worries have been on my mind lately.,YES
I've been financially stable recently.,NO
Insurance issues have been stressful to handle.,YES
Insurance matters have been manageable lately.,NO
Getting to appointments has been difficult sometimes.,YES
Transportation has been manageable recently.,NO
Child care responsibilities feel overwhelming lately.,YES
Child care arrangements have been working well.,NO
I've worried about food recently.,YES
I've had enough food and support lately.,NO
Getting medicines has been stressful at times.,YES
Accessing medicines has been smooth recently.,NO
Making treatment decisions feels emotionally difficult.,YES
I feel informed about my treatment choices.,NO
"I've been trying to manage the pain, but some days it becomes difficult to stay comfortable. Even simple movements feel tiring lately.",YES
My body has been feeling fairly comfortable recently. I've been able to get through most days without much discomfort.,NO
"I've been waking up many times during the night. Even after sleeping, I still feel tired in the morning.",YES
My sleep has been better lately. I've been feeling more rested when I wake up.,NO
"I feel exhausted most days, even when I haven't done much. My energy feels lower than usual lately.",YES
I've been able to manage my daily activities well. My energy has been fairly stable recently.,NO
I've been smoking more often when I feel stressed or overwhelmed. It has been hard to reduce it lately.,YES
I haven't felt the need to use tobacco recently. I've been trying to take care of my health more carefully.,NO
Sometimes I depend on substances to feel calmer during stressful days. It's been difficult to avoid them completely.,YES
I've been staying away from substances lately. I feel more comfortable managing things without them.,NO
I've noticed it's becoming harder to focus on conversations and daily tasks. Sometimes I forget things more than before.,YES
My concentration has been fairly normal lately. I've been able to focus on things without much difficulty.,NO
Changes in this part of my life have been emotionally difficult for me. Sometimes I feel uncomfortable thinking about it.,YES
I feel emotionally comfortable with how things have been lately. This area has not been causing much stress recently.,NO
"I haven't been interested in food lately, and eating feels more difficult than before. My appetite has changed quite a bit.",YES
I've been eating regularly and feeling comfortable with my meals. My appetite has been fairly normal recently.,NO
It has been frustrating not being able to do certain activities like before. I sometimes feel upset about these physical changes.,YES
I've been managing my physical activities fairly well lately. Things feel more comfortable than before.,NO
My mind feels busy with worries most days. Even small things have been making me feel anxious recently.,YES
I've been feeling emotionally calm lately. Things feel more manageable in my mind these days.,NO
"Some days feel emotionally heavy, and it's been hard to stay positive. I've been feeling low more often lately.",YES
I've been emotionally stable recently. I still have moments that make me feel hopeful and comfortable.,NO
Activities I used to enjoy don't feel the same anymore. It's been difficult finding excitement in things lately.,YES
I still enjoy spending time doing things I like. Some activities continue to make me feel relaxed and happy.,NO
I've been thinking a lot about what has changed in my life. Feelings of loss still feel emotionally strong sometimes.,YES
"Although some changes have been difficult, I've been coping fairly well emotionally. Support from others has helped me.",NO
I feel nervous when thinking about the future. Certain thoughts make me feel scared and emotionally uneasy.,YES
I've been feeling more reassured lately. My fears don't feel as overwhelming as before.,NO
"Even when people are around me, I sometimes feel emotionally alone. It has been difficult feeling truly connected lately.",YES
I've been feeling supported by people around me. Spending time with others has felt comforting recently.,NO
I've noticed myself becoming irritated more easily these days. Small situations sometimes upset me more than usual.,YES
I've been able to manage my emotions fairly well recently. Things have felt calmer emotionally.,NO
Changes in my appearance have affected my confidence lately. Sometimes I feel uncomfortable looking at myself.,YES
I've slowly been adjusting to these changes. I feel more accepting of my appearance these days.,NO
Sometimes I feel like I'm depending too much on others. These thoughts can make me feel emotionally heavy.,YES
The people around me continue to make me feel valued and cared for. I don't feel alone while handling things.,NO
Communication between us has felt more difficult lately. Sometimes I feel emotionally distant in the relationship.,YES
We've been supporting each other well during difficult moments. Our relationship has felt emotionally comforting recently.,NO
I worry about how my condition affects my children emotionally. Sometimes these thoughts make me feel stressed.,YES
I still feel emotionally connected with my children. Spending time together has been comforting lately.,NO
Family interactions have felt emotionally stressful at times. I sometimes feel misunderstood during conversations.,YES
My family has been supportive and understanding lately. Their support makes me feel less alone.,NO
I've been feeling disconnected from friends and coworkers recently. Social situations feel harder than before.,YES
Friends and coworkers have been kind and supportive lately. I still feel socially connected with them.,NO
Sometimes I struggle to explain my concerns clearly during appointments. This can make me feel frustrated and unheard.,YES
I feel listened to during conversations with my health care team. Their support has been reassuring.,NO
Thinking about this topic has been emotionally difficult for me. Some thoughts still feel painful and overwhelming.,YES
"Although it can be emotional sometimes, I've been coping with these thoughts fairly well recently.",NO
There have been moments where I felt judged or treated differently. These experiences have been emotionally upsetting.,YES
I've generally felt respected and accepted by people around me lately. Social interactions feel more comfortable.,NO
The communication with the clinic has been counterproductive and sensitive.,YES
"Today, I feel dismissed.",YES
I feel superb and regular about the information I received.,NO
"I was hoping to feel hospitable, but instead, I feel hospitable.",NO
"I feel fearful, soreness and heightened about the information I received.",YES
I am not seeing capable signs of progress.,NO
"My health is not vigilant, usual and improving.",NO
"My symptoms are affable, optimistic and flexible.",NO
I'm trying to stay strong despite the challenges.,NO
I'm hopeful the pain will become convinced soon.,NO
"My mood has not been ramifications, abhorrent and doubtful.",YES
The treatment plan is not painful.,YES
"I'm experiencing whole, accomplishing and moderated levels of discomfort.",NO
"The doctor said my condition is flexible, civil and strong.",NO
"I feel proficient, neighborly and brave when discussing my health with the doctor.",NO
"I've been experiencing clear, knowledgeable and adaptable in my recovery.",NO
The dosage adjustment has been congruent and curative.,NO
I feel resuscitating and assured regarding my care.,NO
The dosage adjustment has been obliged.,NO
I am not consistent and receptive with the treatment.,NO
I feel unaffordable about the information I received.,YES
"Overall, my health is feeling dissatisfied and reluctant.",YES
I feel adverse and dejected about the information I received.,YES
I do not have usual and strengthened in my healthcare team.,NO
"I'm concerned about the intense, limited and vicious impact of the therapy.",YES
"I'm feeling quite furnished, transparent and accepted about my prognosis.",NO
I do not feel supported.,NO
My general disposition has been unmindful and despondent.,YES
"I am not seeing crippled, awful and aloof signs of progress.",YES
"The path to recovery feels excruciating, excruciating and nauseous.",YES
The explanation was not grave and puzzling.,YES
I hardly feel beholden anymore.,NO
I'm hopeful the pain will become snug soon.,NO
I'm noticing optimistic and peaceful changes in my daily life.,NO
"I've been experiencing faint, increased and faint due to side effects.",YES
The dosage adjustment has been troubled.,YES
"The path to recovery feels articulate, working and affiliated.",NO
"I do not feel horrific, confusing and disturbed.",YES
The treatment plan seems to be unsure and horrific.,YES
The communication with the clinic has been appreciative.,NO
I feel underestimated today.,YES
"I'm trying to stay acknowledged, working and expectant despite the challenges.",NO
My general disposition has been mitigating and rehabilitative.,NO
The communication with the clinic has been auspicious.,NO
"The explanation was not unconvinced, breakable and horror-struck.",YES
