Category,Problem List Item,BraveEve's Conversational Question,Yes,No,Verbatim
Physical,Substance use,"[Name], because of the physical stress, did you have to use any drinks like alcohol or extra tablets from the medical store to calm your mind?","Thank you for sharing your heart so openly. Managing this journey is a big task, and it is completely okay to just sit quietly and rest today.","That is very reassuring, [Name]. It is wonderful that you are navigating these tough days with a calm and steady mind.","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head"""
Physical,Substance use,"Sometimes when the body hurts or we get tension, we look for quick relief. [Name], did you use any alcohol or extra pills this week?",I truly appreciate your honesty with me today. Please take a deep breath and give yourself permission to just relax your body naturally.,"Thank you for letting me know, [Name]. It is great that you are keeping your habits healthy and steady during this time.","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head"""
Physical,Substance use,"[Name], did you find yourself needing a little alcohol or any extra medicines to help you handle the stress or discomfort this past week?","Thank you for trusting me with this. Facing tough times takes a lot of patience, and your comfort and peace are the most important things right now.","That is a very good thing, [Name]. It is wonderful to hear that you don't need any extra substances to manage your daily routine.","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head"""
Physical,Memory/Concentration,"Looking at your everyday routine, are you having any difficulties in remembering things or finding it hard to focus?","Please do not worry, this happens to many people. Your mind is going through a lot, it is okay to be a little forgetful right now.","That's really great,  [Name]. It's good to know your mind is feeling strong and focused right now.","A person getting chemotherapy said she had trouble remembering things. ""All throughout the chemotherapy, suddenly, you have no memory. You will be sitting in a place and wondering where you are."" "
Physical,Memory/Concentration,"[Name], have you found it hard to remember small details or focus on things lately?","Please do not worry, this happens to many people. Your mind is going through a lot, it is okay to be a little forgetful right now.","That's really great, [Name]. It's good to know your mind is feeling strong and focused right now.","A person getting chemotherapy said she had trouble remembering things. ""All throughout the chemotherapy, suddenly, you have no memory. You will be sitting in a place and wondering where you are."" "
Physical,Memory/Concentration,"[Name], in this past week, did you feel confused while talking, or did you forget common things like where you kept your items or medicines?",It is completely natural for the mind to slow down when the body is healing. Don't stress yourself; just take things one simple step at a time.,"That is wonderful, [Name]! Having a sharp memory and a clear mind is an excellent sign of your mental strength.","A person getting chemotherapy said she had trouble remembering things. ""All throughout the chemotherapy, suddenly, you have no memory. You will be sitting in a place and wondering where you are."" "
Physical,Memory/Concentration,"When we are stressed, paying attention to a single task can feel tough. [Name], have you been facing any trouble with your concentration or in remembering things recently?","Thank you for telling me. When the mind is carrying a lot of medical thoughts, it is perfectly fine if you need to write things down or ask twice.",That is very nice to hear. It is great that you are able to follow conversations and focus on your daily tasks so easily.,"A person getting chemotherapy said she had trouble remembering things. ""All throughout the chemotherapy, suddenly, you have no memory. You will be sitting in a place and wondering where you are."" "
Physical,Memory/Concentration,"[Name], did your mind feel a bit confused or forgetful this week, making it difficult for you to read, remember things, or follow simple instructions?","Please be gentle with your mind today. Your thoughts are processing a lot right now, and it is entirely okay to take a break and rest your brain.","That is excellent, [Name]. I am so glad your thoughts are feeling bright, organized, and completely clear today.","A person getting chemotherapy said she had trouble remembering things. ""All throughout the chemotherapy, suddenly, you have no memory. You will be sitting in a place and wondering where you are."" "
Physical,Sexual health,"We can talk about anything here [Name], please answer if you're comfortable. During or after treatment, some people notice dryness, discomfort, or less interest in intimacy. It can change how you feel with your husband or partner. Have you noticed any changes or faced any trouble like this recently? ","Thank you for trusting me with this. It is a very common change, and it is completely natural for your feelings to change on this journey.",That is very encouraging that things are feeling comfortable for you at this time.,"A person getting cancer treatment said she had dryness, burning, and no interest in being close with her husband or partner. She said, ""Vaginal dryness, even today, I have the vaginal dryness. I have a burning sensation. Then I had no desire for sex; it completely became nil."" "
Physical,Sexual health,"Medicine can affect our intimate life, [Name]. Have you noticed changes like less interest in closeness or physical discomfort with your partner lately?","Thank you for trusting me with this. It is a very common change, and it is completely natural for your feelings to change on this journey.",That is very encouraging that things are feeling comfortable for you at this time.,"A person getting cancer treatment said she had dryness, burning, and no interest in being close with her husband or partner. She said, ""Vaginal dryness, even today, I have the vaginal dryness. I have a burning sensation. Then I had no desire for sex; it completely became nil."" "
Physical,Sexual health,"[Name], you can share anything safely here. Have your treatments caused any physical dryness or made intimate moments with your partner feel uncomfortable recently?","Thank you for sharing this private matter. Changes in intimacy happen to almost everyone during treatment, and it is completely normal to feel this way.","That is wonderful to hear, [Name]. It is great that your personal relationship is moving along smoothly and comfortably.","A person getting cancer treatment said she had dryness, burning, and no interest in being close with her husband or partner. She said, ""Vaginal dryness, even today, I have the vaginal dryness. I have a burning sensation. Then I had no desire for sex; it completely became nil."" "
Physical,Sexual health,"Please feel free to talk about anything here. [Name], have you faced any trouble or changes in your sexual health this week?","I hear you clearly, [Name]. Your body is going through a massive transition, and it is totally okay if your physical connection feels different right now.","That is very good, [Name]. Having comfort and ease in your personal life is a beautiful support during your recovery.","A person getting cancer treatment said she had dryness, burning, and no interest in being close with her husband or partner. She said, ""Vaginal dryness, even today, I have the vaginal dryness. I have a burning sensation. Then I had no desire for sex; it completely became nil."" "
Physical,Sexual health,"[Name], has your medical routine made you feel less connected or caused any physical discomfort during intimacy with your partner?","Thank you for being so open about this. It takes a lot of heart to discuss these things, and please know that your body's current pace is entirely natural.","I am very glad to know that, [Name]. It is an excellent sign that you are not facing any trouble in your intimate life.","A person getting cancer treatment said she had dryness, burning, and no interest in being close with her husband or partner. She said, ""Vaginal dryness, even today, I have the vaginal dryness. I have a burning sensation. Then I had no desire for sex; it completely became nil."" "
Physical,Changes in eating,How has eating been lately [Name]? Have you been having trouble eating or enjoying food?,Eating can become tough some days. You can slowly try different soft foods that your stomach likes.,That brings a smile to my face! Eating your daily meals properly is very good for your strength.,"A person getting cancer treatment said she could not eat many foods. She ate soft food like rice and rava kanji. She said, ""I couldn't eat the food. I would eat rice and rava kanji (porridge). I wasn't eating any spicy food. I would eat fruits."" 
A person getting cancer treatment said mouth sores and pain made it hard for her to eat. She said, ""With all those mouth ulcers and pain I was not eating food."" "
Physical,Changes in eating,"Medicines can sometimes change how our tongue tastes things. [Name], have you lost your appetite or found it hard to enjoy your meals lately?",Eating can become tough some days. You can slowly try different soft foods that your stomach likes.,That brings a smile to my face! Eating your daily meals properly is very good for your strength.,"A person getting cancer treatment said she could not eat many foods. She ate soft food like rice and rava kanji. She said, ""I couldn't eat the food. I would eat rice and rava kanji (porridge). I wasn't eating any spicy food. I would eat fruits."" 
A person getting cancer treatment said mouth sores and pain made it hard for her to eat. She said, ""With all those mouth ulcers and pain I was not eating food."" "
Physical,Changes in eating,"[Name], has it been difficult for you to finish your food because of any reason like dry mouth, or simply not feeling like eating anything this week?","Thank you for letting me know. Don't force yourself to finish big plates; even small, frequent bites of simple food can give your body good energy.","That is fantastic, [Name]! Keeping up a good appetite and enjoying your home-cooked food is exactly what your body needs to heal.","A person getting cancer treatment said she could not eat many foods. She ate soft food like rice and rava kanji. She said, ""I couldn't eat the food. I would eat rice and rava kanji (porridge). I wasn't eating any spicy food. I would eat fruits."" 
A person getting cancer treatment said mouth sores and pain made it hard for her to eat. She said, ""With all those mouth ulcers and pain I was not eating food."" "
Physical,Changes in eating,"[Name], did you face any trouble eating or swallowing your food properly in the past few days?",It is completely okay if your favorite dishes taste a bit different right now. Just listen to your stomach and eat whatever feels light and easy.,"I am so happy to hear that, [Name]. Eating your meals with interest and joy is a wonderful sign of improving health.","A person getting cancer treatment said she could not eat many foods. She ate soft food like rice and rava kanji. She said, ""I couldn't eat the food. I would eat rice and rava kanji (porridge). I wasn't eating any spicy food. I would eat fruits."" 
A person getting cancer treatment said mouth sores and pain made it hard for her to eat. She said, ""With all those mouth ulcers and pain I was not eating food."" "
Physical,Changes in eating,"[Name], have you noticed any major changes in your eating habits, like feeling full too quickly or losing interest in eating?","Thank you for being honest. When the body is healing, appetite can go up and down like the weather. Just take it one simple spoonful at a time.",That is a big relief! Getting your proper nourishment without any trouble is the best way to maintain your daily strength.,"A person getting cancer treatment said she could not eat many foods. She ate soft food like rice and rava kanji. She said, ""I couldn't eat the food. I would eat rice and rava kanji (porridge). I wasn't eating any spicy food. I would eat fruits."" 
A person getting cancer treatment said mouth sores and pain made it hard for her to eat. She said, ""With all those mouth ulcers and pain I was not eating food."" "
Physical,Loss or change of physical abilities,"In your day-to-day life, are daily activities like walking, bathing, or moving around becoming harder for you?","[Name], thank you for telling me. It's completely understandable. It's okay to take things a little slower and do what feels comfortable for your body.","That is excellent news! Keep up the gentle movement, it is very good for you.","A person getting cancer treatment said she had trouble walking. She said, ""I couldn’t walk but slowly I would go."" 
Another person said bathing became slow and difficult. She said, ""If I go to bath I would take long time, slowly I used to do it."" "
Physical,Loss or change of physical abilities,"[Name], have things like walking, bathing, or sitting up become difficult lately?","[Name], thank you for telling me. It's completely understandable. It's okay to take things a little slower and do what feels comfortable for your body.","That is excellent news! Keep up the gentle movement, it is very good for you.","A person getting cancer treatment said she had trouble walking. She said, ""I couldn’t walk but slowly I would go."" 
Another person said bathing became slow and difficult. She said, ""If I go to bath I would take long time, slowly I used to do it."" "
Physical,Loss or change of physical abilities,"[Name], this week, did you feel that your hands or legs don't have enough grip or balance to do your usual works by yourself?","Please don't force your muscles too hard today. Your body is telling you to slow down, and it is completely fine to take all the time you need.","That is brilliant, [Name]! It is so heartening to see that you are moving around and managing your physical actions smoothly.","A person getting cancer treatment said she had trouble walking. She said, ""I couldn’t walk but slowly I would go."" 
Another person said bathing became slow and difficult. She said, ""If I go to bath I would take long time, slowly I used to do it."" "
Physical,Loss or change of physical abilities,"Sometimes simple chores can feel very difficult. [Name], are you finding it hard to get out of bed or do your day-to-day activities?",Thank you for sharing this. It is totally okay to rely on others or take extra rest right now; your body deserves to recover at its own comfortable pace.,"I am so glad to hear that, [Name]. Keeping up your physical abilities and moving freely is a major step in staying strong.","A person getting cancer treatment said she had trouble walking. She said, ""I couldn’t walk but slowly I would go."" 
Another person said bathing became slow and difficult. She said, ""If I go to bath I would take long time, slowly I used to do it."" "
Physical,Loss or change of physical abilities,"[Name], have you noticed any struggles in walking around the house or in using the bathroom safely?","Please take a deep breath and don't feel discouraged. Healing takes time, and moving slowly or resting on the bed is the best choice for today.","That is wonderful news, [Name]! It is a big comfort to know that your body is holding its balance and moving nicely.","A person getting cancer treatment said she had trouble walking. She said, ""I couldn’t walk but slowly I would go."" 
Another person said bathing became slow and difficult. She said, ""If I go to bath I would take long time, slowly I used to do it."" "
Emotional,Worry/Anxiety,"Now, I'd like to understand your emotional well-being, [Name]. You can pause and continue later if you feel tired. In the past week, have you been feeling heavy tension or worry about anything?","I hear you [Name]. Having tension is very natural right now. Take a slow, deep breath, and just let your mind rest for a moment.","That's very nice to hear, [Name]. It seems your mind has been mostly calm.","A person with cancer said she was worried about telling her family about her illness. ""I was worried about telling my elderly parents and in-laws that I have cancer."" "
Emotional,Worry/Anxiety,"Now, let us talk a little about your emotional well-being, [Name]. In this past week, did your mind feel heavy with tension and worry about your health or family?","Thank you for sharing your thoughts so openly. It makes complete sense that your heart is carrying this weight right now, so please give yourself permission to just drop the worry and rest your mind today.","That is very peaceful to hear, [Name]. Having a mind that feels light and quiet is a wonderful support for your health journey right now.","A person with cancer said she was worried about telling her family about her illness. ""I was worried about telling my elderly parents and in-laws that I have cancer."" "
Emotional,Worry/Anxiety,"Let's talk a little bit about your emotional well-being and peace of mind, [Name]. You can pause if you are tired. During these past few days, did you notice any tension inside you, or were you constantly worrying about how things will turn out?","I hear you clearly, and it is very normal to have these restless moments when you are going through so much. Take a slow, quiet breath and try to focus only on this single, safe moment right now.","That brings a lot of relief, [Name]. It is truly wonderful that your thoughts are running smoothly without any unnecessary tension.","A person with cancer said she was worried about telling her family about her illness. ""I was worried about telling my elderly parents and in-laws that I have cancer."" "
Emotional,Worry/Anxiety,"Shifting our focus to your emotional well-being and inner feelings, [Name]. Have you been feeling very anxious, nervous, or worried when thinking about your daily routine this week?","Thank you for telling me your true feelings. Dealing with an illness puts a lot of pressure on the mind, and it is entirely okay if you cannot stay positive or strong every single minute today.",That is excellent news! It sounds like you are managing to keep your heart steady and your thoughts beautifully relaxed during this time.,"A person with cancer said she was worried about telling her family about her illness. ""I was worried about telling my elderly parents and in-laws that I have cancer."" "
Emotional,Worry/Anxiety,"For the next few questions, I want to gently check on your emotional well-being, [Name]. You can always take a break if you wish. In the past week, did you feel any sudden tension or panic in your heart because of too many worries building up together?","I appreciate you sharing this with me. When the mind gets crowded with questions, the best thing to do is stop, sip some water, and remember that you only have to handle today, not the whole future.","I am so happy to know that, [Name]. Keeping a calm and brave heart is an incredibly powerful thing when your body is recovering.","A person with cancer said she was worried about telling her family about her illness. ""I was worried about telling my elderly parents and in-laws that I have cancer."" "
Emotional,Sadness/Depression,"It is very normal to feel sad, low, or emotionally down. In the past week, have you been feeling sad or crying often?",Thank you for being so brave to tell me. It is completely okay to cry and let the heavy feelings out.,I am so glad your heart is feeling light and okay right now.,"A person getting cancer treatment said hair fall made her feel sad. She said, ""Most of my hair started to fall off. I would feel sad seeing the hair fall."" 
Another person said she felt sad and felt that everything around her had changed. She said, ""You don't know what is happening to you, you feel everything is different. You feel my family is not feeling good, my husband is not good and the entire family was is not feeling good, is the feeling you get. Actually, the house is normal. It is you only suffering it."" "
Emotional,Sadness/Depression,"[Name], in this past week, have you been feeling very low, heavy-hearted, or felt like crying because your mood was down?","It takes a lot of heart to share that, [Name]. When the body is weak, the mind can feel very fragile, and it is completely okay to let your tears out and rest today.","That is very comforting to hear, [Name]. I am so glad that your heart is feeling peaceful and steady right now.","A person getting cancer treatment said hair fall made her feel sad. She said, ""Most of my hair started to fall off. I would feel sad seeing the hair fall."" 
Another person said she felt sad and felt that everything around her had changed. She said, ""You don't know what is happening to you, you feel everything is different. You feel my family is not feeling good, my husband is not good and the entire family was is not feeling good, is the feeling you get. Actually, the house is normal. It is you only suffering it."" "
Emotional,Sadness/Depression,"Sometimes everything feels sad when we are unwell. [Name], have you been fighting a lot of sad feelings or a bad mood lately?",Thank you for being so honest with me. Please do not feel that you have to pretend to be smiling or cheerful today; your quiet days are just as valid.,That is wonderful news! Having a light and happy mood is a beautiful support for your health journey.,"A person getting cancer treatment said hair fall made her feel sad. She said, ""Most of my hair started to fall off. I would feel sad seeing the hair fall."" 
Another person said she felt sad and felt that everything around her had changed. She said, ""You don't know what is happening to you, you feel everything is different. You feel my family is not feeling good, my husband is not good and the entire family was is not feeling good, is the feeling you get. Actually, the house is normal. It is you only suffering it."" "
Emotional,Sadness/Depression,"[Name], did you notice any deep sadness in your mind this week, making it hard to find any happiness?","I hear you clearly, [Name]. Dealing with health issues is a big weight to carry, and it is entirely natural for your emotions to feel a bit tender right now.",That brings a big smile to my face. It is great to know that you are keeping a bright and cheerful spirit these days.,"A person getting cancer treatment said hair fall made her feel sad. She said, ""Most of my hair started to fall off. I would feel sad seeing the hair fall."" 
Another person said she felt sad and felt that everything around her had changed. She said, ""You don't know what is happening to you, you feel everything is different. You feel my family is not feeling good, my husband is not good and the entire family was is not feeling good, is the feeling you get. Actually, the house is normal. It is you only suffering it."" "
Emotional,Sadness/Depression,"Have you been feeling emotionally broken, sad or finding tears coming to your eyes quite easily during these past few days, [Name]?",Thank you for trusting me with your feelings. There is no hurry to feel better or be strong; just take a slow breath and be gentle with yourself today.,"I am very happy to hear that, [Name]. It sounds like your mind is staying in a very calm and positive space.","A person getting cancer treatment said hair fall made her feel sad. She said, ""Most of my hair started to fall off. I would feel sad seeing the hair fall."" 
Another person said she felt sad and felt that everything around her had changed. She said, ""You don't know what is happening to you, you feel everything is different. You feel my family is not feeling good, my husband is not good and the entire family was is not feeling good, is the feeling you get. Actually, the house is normal. It is you only suffering it."" "
Emotional,Loss of interest or enjoyment,"I would like to ask about things you usually enjoy, [Name], maybe watching TV or talking to neighbours?. In the past week, have you felt like you are not able to enjoy them","I understand. Some days we just want to sit quiet. Take your time, there is no hurry to do anything.",That is lovely! Doing small things you like brings very good energy to the day.,"A person getting cancer treatment said she could not enjoy even watching TV. She said, ""I couldn’t even watch TV."" "
Emotional,Loss of interest or enjoyment,"[Name], in this past week, did you feel that you just didn't have interest to do the things you normally like, such as watching a show or chatting?","It is completely normal to feel disconnected from your hobbies right now. Your energy is focused on healing, so just enjoy the quietness without any guilt.","That is lovely, [Name]! Keeping up with the small things you enjoy is a wonderful way to bring good energy to your day.","A person getting cancer treatment said she could not enjoy even watching TV. She said, ""I couldn’t even watch TV."" "
Emotional,Loss of interest or enjoyment,"Have your favorite activities or hobbies started to feel uninteresting to you during these past few days, [Name]?","Thank you for letting me know. On days when nothing feels fun, simply closing your eyes and resting is the best thing you can do for yourself.",That is fantastic! It is so heartening to see you finding time for things that make you feel happy and relaxed.,"A person getting cancer treatment said she could not enjoy even watching TV. She said, ""I couldn’t even watch TV."" "
Emotional,Loss of interest or enjoyment,"[Name], did you feel that you lost interest in sitting with others or listening to things that usually bring a smile to your face this week?","I understand completely, [Name]. When the mind is tired, it naturally wants to pull back. Take all the quiet time you need; there is no rush at all.",That is a very positive sign. Enjoying your daily routines and small hobbies shows your mind is full of life and strength.,"A person getting cancer treatment said she could not enjoy even watching TV. She said, ""I couldn’t even watch TV."" "
Emotional,Loss of interest or enjoyment,"Has it been difficult for you to enjoy your usual favorite activities or talks recently, [Name]?",Thank you for sharing this. It is perfectly fine if your favorite things don't give you the same joy today. Just let your body rest and recover at its own pace.,"I am so glad to know that, [Name]. Finding joy in your everyday moments is a beautiful blessing for your recovery.","A person getting cancer treatment said she could not enjoy even watching TV. She said, ""I couldn’t even watch TV."" "
Emotional,Grief or loss,"[Name], at times losing someone or something important can feel very difficult. Have you been feeling sad or grieving because of a loss? Are you missing how things were before?","Thank you for sharing your heart with me, [Name]. Feeling sad is completely natural, so please give yourself permission to just sit quietly and breathe today.",I am glad you are feeling steady with how things are right now.,"A person with cancer felt deep sadness and worry about what may happen to her. She said, ""I cried because I was worried."""
Emotional,Grief or loss,"[Name], have you been feeling sad or sorrow in your heart because you are missing someone, or missing how your life used to be?","Thank you for sharing your heart with me, [Name]. Feeling sad is completely natural, so please give yourself permission to just sit quietly and breathe today.","It is very reassuring to hear that you are feeling steady and at peace with your present situation, [Name].","A person with cancer felt deep sadness and worry about what may happen to her. She said, ""I cried because I was worried."""
Emotional,Grief or loss,"Sometimes an illness makes us feel deeply sad for what we have lost. [Name], have you been grieving or feeling sad about a loss lately?",Remembering the past with a heavy heart is a very natural part of life's journey. Please be kind to your thoughts and take things one soft step at a time today.,"That is a very good thing, [Name]. Staying grounded and focused on the comfort of today is a wonderful strength.","A person with cancer felt deep sadness and worry about what may happen to her. She said, ""I cried because I was worried."""
Emotional,Grief or loss,"[Name], did a feeling of missing your old days or dealing with a personal loss make your mind feel very heavy and sad this week?","I hear you clearly, [Name]. Healing from a personal loss takes its own time, and it is completely okay if your heart feels a little tender and quiet right now.",Thank you for letting me know. It is wonderful that your mind is feeling calm and settled with how things are.,"A person with cancer felt deep sadness and worry about what may happen to her. She said, ""I cried because I was worried."""
