Category,Problem List Item,BraveEve's Conversational Question,Verbatim,Yes,No
Emotional,Loneliness,"Even when people around, we can feel very alone. [Name], in the past week, have you felt lonely?","A person with cancer said she felt very lonely at home, even though she had family. She said, ""I used to feel very lonely at home."" ","I am sorry you feel lonely, [Name]. You are not alone. I am here to listen.",That is so nice. I am glad you have people to talk to.
Emotional,Anger,"[Name], in the past week, have you felt angry or easily upset?","A person getting chemotherapy said her body felt uncomfortable after treatment, and this made her angry with her family. She said, ""I used to get very angry and I used to speak angrily with all my family.""","It is okay to feel angry, [Name]. When you are not feeling well, it can be hard to stay calm. Thank you for telling me.","That is good to hear, [Name]. I am glad you are feeling calm now."
Emotional,Changes in appearance,"[Name], treatment can change how we look. In the past week, have you felt sad about how you look?","A person getting cancer treatment said the changes in her appearance made her feel scared and upset. She said, ""When I got up from the bed, most of the hair would have fallen. I would feel scared seeing it."" ","Thank you for telling me, [Name]. Changes in how you look can feel hard. You are still you.","That is good to hear, [Name]. I am glad you are feeling okay about how you look."
Emotional,Feelings of worthlessness or being a burden,"[Name], in the past week, have you felt like you are troubling your family?","A person with cancer said she felt her whole family was affected by her illness. She said, ""It's not me. Everybody has to go through"" ","Thank you for telling me, [Name]. You are important, even when you cannot do everything for your family.","That is good to hear, [Name]. I am glad you are not feeling this way now."
Social,Relationship with Spouse/Partner,"Now, [Name], I would like to understand how you have been feeling around other people. [Name], in the past week, has it been hard with your husband or partner?","A person with cancer said her husband supported her when she was in pain. She said, ""There are times I would hold on to him and give me a hug and cry, the pain I couldn't take it. He would just hold me and tell it's okay, it's okay."" ","Thank you for telling me, [Name]. Illness can make things hard at home. Please take one step at a time.","That is good to hear, [Name]. Having a loving partner/husband makes everything a little easier."
Social,Relationship with children,"In this past week, has it been hard with your children?","A person with cancer said her children helped her when she felt tired and had burning in her stomach. She said, ""My children would make buttermilk for me to drink."" 
A person with cancer said things were difficult with her children, but she still loved them. She said, ""Even my children are not that good to me now, but still they are mine."" ","Thank you for telling me, [Name]. It can be hard when things are not easy with your children.","That is good to hear, [Name]. I am glad things are okay with your children."
Social,Relationship with family members,"Apart from the little ones, we also spend our days talking to other people around us. [Name], in this past week, has it been hard with your family members?","A person with cancer said her family helped take care of her. Her father, mother, husband, and son all supported her in different ways. She said, ""All four of them were sharing the responsibility of taking care of me."" ","Thank you for telling me, [Name]. When your body is tired, being with family can feel hard. Please rest when you need to.","That is good to hear, [Name]. I am glad things are okay with your family members."
Social,Relationship with Friends/Coworkers,"[Name], in the past week, has it been hard with your friends or people at work?","A person getting chemotherapy said her friends visited her, brought food, and spoke positive words. She said, ""When I was admitted for chemotherapy, they (friends) came to visit me."" ","Thank you for telling me, [Name]. It can be hard when things are not easy with people around you. Please take it slowly.","That is good to hear, [Name]. I am glad things are okay with people around you."
Social,Communication with health care team,"[Name], in the past week, was it hard to talk freely with your doctors or nurses?","A person with cancer said she did not get enough information from the doctors about the full cost of treatment. She said, ""They only said, ‘Come on this day for your next chemo.’ They said one chemo would cost around ₹25,000, but they did not tell us how much the full treatment would cost. For me, that little information was not enough."" 
A person with cancer said her doctor explained the illness and treatment clearly. She said, ""He explained each and everything to me. He told me about the diagnosis and the treatment. In all ways, he prepared me."" ","Thank you for telling me, [Name]. It is okay to want clear answers. Please ask your doctors or nurses when something is not clear.","That is good to hear, [Name]. I am glad you can talk freely with your doctors and nurses."
Social,Ability to have children,"Thinking about the future and family is very natural. [Name], in the past week, have you been worried about having children in the future?","A person with cancer said treatment could affect her chance of having children, but she chose to focus on living. She said, ""The oncologist said I had to be on hormone therapy, and this would reduce my chances of conceiving. I thought, ‘If I have to be alive, I should not conceive. If I conceive, I am taking a complete risk on my own. Then I decided, so what if I cannot conceive? I want to be alive.’"" ","Thank you for telling me, [Name]. Worrying about having children can feel very hard. It is okay to feel this way.","That is okay, [Name]. Thank you for telling me."
Social,Prejudice or discrimination,"[Name], in the past week, did anyone treat you badly because of your illness?","A person with cancer said people treated her illness like gossip and judged her. She said, ""People would gather and talk about me… Some of them would also say that it was a punishment."" ","I am sorry this happened, [Name]. What they did is not your fault. You did nothing wrong.","That is good to hear, [Name]. I am glad people are treating you well."
Practical,Taking care of myself,"Now, [Name], I would like to ask about some day-to-day things in your life. You can always take a break if you want. [Name], in the past week, has it been hard to bathe, dress, or eat by yourself?","A person with cancer said she needed help from her family for daily needs. She said, ""I need help from my family to bathe, change clothes, and eat."" 
A person with cancer said it took a long time to get up from bed and sit. She said, ""To get up from the bed and to sit, it would take long time for almost 20-25 minutes."" ","It is okay to ask for help, [Name]. Your body needs rest. Please do only what you can.","That is good to hear, [Name]. I am glad you can take care of yourself."
Practical,Taking care of others,"[Name], in the past week, has it been hard to take care of others at home?","A person with cancer said her husband was taking more care of their daughter because she could not do as much. She said, ""My husband takes care of my daughter more than me at this point."" ","You are doing your best, [Name]. When you are not well, it is okay to let others help at home.","That is good to hear, [Name]. I am glad you are able to take care of others at home."
Practical,Safety,"[Name], in the past week, did you feel unsafe at home or outside?","A person with cancer said she felt scared because her body was weak and it was hard to get out of the place. She said, ""I was a bit scared then. You know, it is a bit difficult for me to get out of this place.""
Similarly, another person with cancer said, ""I am not able to move around. I am stuck here in this chair.""","Thank you for telling me, [Name]. Feeling unsafe can be scary. Please tell someone you trust if you need help.","That is good to hear, [Name]. I am glad you feel safe at home and outside."
Practical,Work,"[Name], in the past week, has it been hard to manage your work because of your health?","A person with cancer said working and meeting people helped her feel normal. She said, ""Working and meeting people helped me keep my sanity""
A person with cancer said she had to stop working for some time because of treatment. She said, ""I took time off from work."" ","Thank you for telling me, [Name]. It can be hard to manage work and health. Please rest when you need to.","That is good to hear, [Name]. I am glad you are able to manage your work."
Practical,School,"[Name], in the past week, has it been hard to manage your studies because of your health?","A person with cancer said that she could no longer attend her classes, due to her illness, she felt left out and couldn’t do many things. She said, ""Now, I am not able to go to school… due to this disease, I feel I could not do many things and I feel isolated."" ","Thank you for telling me, [Name]. It can be hard to manage studies and health. Please rest when you need to.","That is good to hear, [Name]. I am glad you are able to manage your school."
Practical,Housing/Utilities,"In this past week, has it been hard to pay for rent, electricity, water, or other home needs?","A person with cancer said she needed rest when she felt drowsy, but later returned to household work. She said, ""When I felt drowsy, I would lie down for one or two hours.""","Thank you for telling me, [Name]. It can be hard to manage home bills during treatment. Please ask for help if you need it.","That is good to hear, [Name]. I am glad you are able to manage your home needs."
Practical,Finances,"[Name], in the past week, have you been worried about money for treatment or daily needs?","A person with cancer said money was a big worry because her husband had to borrow money for treatment. She said, ""I felt sad because he had to borrow money."" 
Another person with cancer said money problems made treatment and daily needs hard to manage. She said, ""If you have financial problems, it is very difficult. Someone has to be there to cook for your family and to cook for you. If you are not financially strong, how will the patient survive? My husband was at home without a job when I was diagnosed with cancer. Travel by auto, cab, or own vehicle is expensive. Diet and many other things are not covered by insurance. I am going through it, so I know it is very difficult.""  ","Thank you for telling me, [Name]. Money worries can feel very hard during treatment. Please ask for help if you need it.",That takes away a big worry. I am glad money worries are not troubling you now.
Practical,Insurance,"[Name], in the past week, was it hard to use your health card, such as ESI or BPL card or insurance papers for hospital care?","A person with cancer said insurance did not make payment easy. She had to pay first and wait for the money to come back. She said, ""Even if you have insurance, you still have to wait and face problems."" ","Thank you for telling me, [Name]. It can be hard when insurance takes time. Please ask for help if you need it.","That is good to hear, [Name]. I am glad you are not having problems with insurance now."
Practical,Transportation,"[Name], in the past week, was it hard to travel from your house to the hospital or clinic for your check-ups?","A person with cancer said it was hard to travel for treatment because she lived in a different town from the hospital. She said, ""For treatment, it was not easy to travel."" ","Thank you for telling me, [Name]. It can be hard to travel for hospital visits. Please rest when you can.",It’s good to hear that travelling to the hospital visits has been okay for you.
Practical,Child care,"[Name], in this past week, has it been hard to take care of your children?","A person with cancer said her daughter wanted her to go out, but her illness made it hard. She said, ""She would ask me, ‘Why are you not coming out?’"" ","You are doing your best, [Name]. Taking care of children can be hard when you are not well. Please ask for help when you need it.","That is good to hear, [Name]. I am glad you are able to take care of your children."
Practical,Having enough food,"[Name], in the past week, was it hard to get food items like rice, dal, or vegetables for cooking?","A person with cancer said her brother borrowed money to help her get food for the house. She said, ""My brother would borrow money and help me get food items for the house."" ","Thank you for telling me, [Name]. It can be hard when getting food is difficult. Please ask family or neighbours for help if you need it.",I am very glad to know that you are getting your food for the day properly and don't have to worry about food right now.
Practical,Access to medicine,"[Name], in the past week, was it hard to get your medicines from the hospital or medical shop?","A person with cancer said it was hard to get cancer medicines and tests near her home. She said, ""None of the tests or cancer medicines were available locally.""","Thank you for telling me, [Name]. It can be hard when medicines are not easy to get. Please ask the hospital staff for help if you need it.",Excellent! Taking medicines properly is a big step to getting well.
Practical,Treatment decisions,"Doctors tell us so many things at once, and it can be hard to know what is right. [Name], in this past week, have you felt unsure about what to do for your treatment?","A person with cancer said she felt confused because the treatment process was new to her. She said, ""I had difficulty understanding the treatment process."" ","It is okay to feel unsure, [Name]. Treatment can be hard to understand. Please ask your doctor or nurse when something is not clear.","That is good to hear, [Name]. I am glad you feel clear about your treatment."
Spiritual or Religious Concern,Sense of meaning or purpose,"Now, [Name], I would like to ask the last set of questions about your faith and beliefs. When times are hard, we all look for a reason to keep trying. This past week, have you felt unsure about what helps you stay strong?","A person with cancer said cancer changed how she looks at life and helped her value life more. She said, ""I value life more now and don’t take life for granted."" ","Thank you for telling me, [Name]. It is okay to feel this way. Small things, like rest, tea, or talking to someone, can help you keep going.","That is a beautiful thing, [Name]. I am glad you have something that helps you keep going."
Spiritual or Religious Concern,Changes in faith or beliefs,"[Name], in the past week, have your thoughts about your faith or beliefs changed?","A person with cancer said her illness changed her faith and helped her see life differently. She said, ""I used to think success meant bank balance and material things. But today, I do not care what people think about me."" ","It is okay to feel this way, [Name]. Illness can change how we think about life and faith.","That is good to hear, [Name]. I am glad your faith and beliefs feel okay for you now."
Spiritual or Religious Concern,"Death, dying, or afterlife","[Name], this question may feel hard. In the past week, have you had thoughts about death or life after death?","A person with cancer said she was scared about death and survival. She said, ""What if I don’t survive?"" ","Thank you for telling me, [Name]. Thoughts about death can feel scary. You are not alone. Please talk to someone you trust if these thoughts feel heavy.","That is good to hear, [Name]. I am glad these thoughts are not troubling you now."
Spiritual or Religious Concern,Conflict between beliefs and cancer treatments,"[Name], in the past week, did you feel any problem between your treatment and your faith or beliefs?","A person with cancer said she believed in miracles, but she also accepted that she had to take treatment. She said, ""I knew I had to go through cancer treatment.""
Another person said some people may feel treatment goes against their religious belief because they see the body as given by God. She said, ""This organ is given to me by God. I should not allow the God-given body to be cut."" - Daniel","Thank you for telling me, [Name]. It can be hard when treatment does not match your faith or beliefs.","That is good to hear, [Name]. I am glad there is no problem between your treatment and your faith now."
Spiritual or Religious Concern,Relationship with the sacred,"[Name], in the past week, have you felt any change in your connection with God, prayer, or faith?","A person with cancer said her illness made her question God and her suffering. She said, ""I would tell God, ‘I have not done wrong to anyone. Why do I have to face this much punishment in life?’"" ","It is okay, [Name]. Sometimes our faith feels quiet. It can still give us comfort.","That is good to hear, [Name]. I am glad your faith and prayer are helping you now."
Spiritual or Religious Concern,Ritual or dietary needs,"[Name], in the past week, was it hard to pray, fast, do rituals, or follow your usual food rules?","A person with cancer said her suffering made it hard for her to do pooja. She said, ""I was angry, so I stopped doing pooja."" ","It is okay, [Name]. When your body is not well, prayer or rituals can feel hard. Please do what you can.","That is excellent, [Name]! I am glad you are able to follow your prayer, fasting, or food rules."
