Category,Problem List Item,BraveEve's Conversational Question,Verbatim,Yes,No
Physical,Sleep,"[Name], how has your rest been at night? Have you been waking up a lot without getting proper sleep?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",Please don't take any tension if sleep is running away right now. Just lie down comfortably and let your mind drift gently without any hurry.,That is excellent to hear. Sleeping soundly is the best way for your body to recover its natural strength.
Physical,Sleep,"[Name], did you find it hard to get a good night's sleep this week?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","It can be quite tiring when sleep is broken at night. On days like this, it is completely okay to take small naps during the daytime.","I am so happy for you, [Name]. Waking up feeling refreshed is a very beautiful way to start the day."
Physical,Sleep,"[Name], have you been staying awake for a long time in the night or not able to sleep?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","Thank you for telling me. A heavy night makes the morning feel slow, so please take things very easy and rest whenever you can today.",That is great news! Having a peaceful and undisturbed sleep is a big blessing for your health.
Physical,Sleep,"[Name], did you find it difficult to fall asleep quickly or stay asleep through the night this week?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","I understand, [Name]. Not getting proper sleep makes the next day feel very heavy, so please rest today.",That is wonderful! A good night's sleep gives you so much fresh energy for the morning.
Physical,Sleep,"Is it hard for you to close your eyes and sleep peacefully when you lie down at night, [Name]?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",Please do not worry if sleep is not coming easily right now. Just lie down and relax your mind gently.,That is very good news. Sleeping soundly helps your body recover its natural strength quickly.
Physical,Sleep,"Have you been staying awake for many hours during the dark night lately, [Name]?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",Thank you for sharing. Please do not feel any tension about your sleep. Just close your eyes and rest quietly.,That is fantastic! I am so glad that you slept so soundly and beautifully through the night.
Physical,Sleep,"[Name], how has your rest been at night? Have you been waking up a lot without getting proper sleep?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","It is very hard when you cannot sleep properly. On days like this, please give your body extra rest.",That is excellent to hear. Feeling completely refreshed in the morning is a very good sign.
Physical,Sleep,"Did you find it hard to get a good sleep recently, [Name]?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","I understand completely, [Name]. A heavy night means you need a slow day, so please rest whenever you can.",That brings a big smile to my face. Having a quiet and undisturbed sleep is wonderful for you.
Physical,Sleep,"[Name], have your sleep hours been very less or disturbed during this past week?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",Thank you for letting me know. Please do not force yourself to stay active today; just relax in bed.,That is wonderful news! It is great that your body got a very peaceful and deep rest last night.
Physical,Sleep,"[Name], did you feel that you could not sleep properly even for a few hours this week?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",Thank you for sharing. Please lay down in a comfortable position and let your mind drift away quietly.,"That is amazing, [Name]. Having a solid and peaceful night of rest shows your body is doing well."
Physical,Sleep,"Have you been facing a lot of trouble in falling asleep when you go to bed lately, [Name]?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","I hear you clearly. Not sleeping well makes the day feel tough, so please take a lot of rest today.",That is excellent news! Waking up with a calm and rested mind is a very big benefit for your health.
Physical,Sleep,"[Name], did a lack of sleep make you feel very exhausted and tired when the morning came?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ",It is completely normal to feel slow after a sleepless night. Please listen to your body and rest now.,That brings a lot of joy. I am so happy that you enjoyed a very quiet and deep sleep last night.
Physical,Sleep,"Was it difficult for you to sleep through the night without waking up in the middle, [Name]?","A person getting cancer treatment said she felt sudden heat and sweating, which made it hard for her to sleep. She said, ""I wouldn’t get sleep due to hot flushes."" ","Thank you for telling me. When your night is disturbed, it is totally fine to sleep during the daytime.","That is fantastic, [Name]. Getting a full night of sound sleep gives so much strength to your body."
Physical,Fatigue,"[Name], do you feel weak or tired most of the day recently?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",It is completely normal to feel weak right now. Please give your body the rest it is asking for today.,Having good energy is a great sign! That shows your body is finding its strength.
Physical,Fatigue,"When we are unwell, our energy can go low really fast. [Name], have you been feeling very weak, tired, or low on energy during the day?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",It is completely normal to feel weak right now. Please give your body the rest it is asking for today.,Having good energy is a great sign! That shows your body is finding its strength.
Physical,Fatigue,"[Name], did you feel that even small movements or daily tasks are making you feel completely tired or drained this week?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Your body is working very hard on the inside to heal, so feeling tired is completely natural. Just relax and do not push yourself.","That is amazing, [Name]. It is so wonderful to see you moving around with a nice and active energy today."
Physical,Fatigue,"Sometimes the body just refuses to move because of weakness. [Name], has your body felt weak or tired most of the time lately?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",Please do not feel guilty for staying in bed today. Listening to your tiredness and resting is exactly what your body needs right now.,I am very happy to hear that! Feeling fresh and active helps you enjoy your day so much more.
Physical,Fatigue,"[Name], in this past week, did you feel that you just don't have enough strength or power in your body to do your usual things?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Thank you for sharing this. It takes a lot of patience to deal with low energy, and you are doing great just by taking it day by day.",That is a very positive sign. It is wonderful that your body is feeling strong and full of life right now.
Physical,Fatigue,"[Name], do you feel that your body is not having strength and you are very tired during the daytime?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",It is completely normal to feel weak right now. Please give your body the full rest it is asking for today.,Having good energy is a great sign! That shows your body is finding its strength.
Physical,Fatigue,"When we are unwell, our energy can go low really fast. [Name], have you been feeling very weak or tired recently?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Your body is working very hard on the inside to heal, so feeling tired is natural. Just relax today.","That is amazing, [Name]. It is so wonderful to see you moving around with active energy today."
Physical,Fatigue,"[Name], did you feel that even small movements or daily tasks are making you feel completely tired this week?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",Please do not feel guilty for staying in bed today. Listening to your tiredness is what your body needs.,I am very happy to hear that! Feeling fresh and active helps you enjoy your day so much more.
Physical,Fatigue,"Sometimes the body just refuses to move because of weakness. [Name], has your body felt low on energy lately?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Thank you for sharing this. It takes a lot of patience to deal with low energy, so take it day by day.",That is a very positive sign. It is wonderful that your body is feeling strong and full of life right now.
Physical,Fatigue,"[Name], in this past week, did you feel that you just don't have enough strength or power in your body?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","I understand completely, [Name]. When your energy battery is low, resting quietly is the smartest choice.",That is fantastic news! It is great to see you feeling so lively and full of energy today.
Physical,Fatigue,"Have you been feeling so tired that you want to lie down and sleep all through the day, [Name]?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Thank you for telling me. Your body needs extra rest to rebuild its power, so please sleep comfortably.",That brings a lot of relief. Having a steady and active strength during the day is wonderful.
Physical,Fatigue,"Have you been feeling completely drained out from morning to evening these past few days, [Name]?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ",It takes a lot of patience when your body feels weak. Please be very gentle with yourself and rest well.,That is fantastic! Hearing that you are feeling strong and full of life makes me very happy.
Physical,Fatigue,"[Name], did you find your body feeling totally tired even after resting for a long time this week?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","I hear you, [Name]. Fatigue can be very tricky when you are unwell. Just take it one quiet hour at a time.",That is a very positive update. It is great that your body is finding its natural power again.
Physical,Fatigue,"Has your daily strength been very low, making your body feel weak, [Name]?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Please do not worry at all, [Name]. Your strength will return slowly. For today, just focus on resting well.","That brings a lot of joy. It is wonderful to see you feeling so light, active, and cheerful today."
Physical,Fatigue,"[Name], did you feel too tired or weak to do even the simple things this past week?","A person getting chemotherapy said she felt very tired for one week after treatment, told: ""The first two or three days (After chemotherapy) it was not that bad because they had given medications and all that then for one week extreme fatigue."" ","Thank you for being honest. Dealing with low energy is tough, but you are doing great just by resting.",That brings a big smile to my face. It is wonderful that your body feels so lively and energetic today.
Physical,Tobacco use,"To better understand your health, may I ask - do you currently use cigarettes, beedi, or any smokeless forms like gutka, paan, or chewing tobacco?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""",I appreciate your response. Please feel comfortable - your feelings are completely valid and respected.,"That's really wonderful to know, [Name]. I'm glad you're taking care of yourself and listening to your body."
Physical,Tobacco use,"To get a clear understanding of your health, [Name], do you currently smoke cigarettes, bidi, or use chewing items like gutka, khaini, or paan?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""",I appreciate your response. Please feel comfortable - your feelings are completely valid and respected.,"That's really wonderful to know, [Name]. I'm glad you're taking care of yourself and listening to your body."
Physical,Tobacco use,"[Name], may I ask if you have a habit of using tobacco in any form, like smoking cigarettes, beedi, or chewing packets from the shop?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for sharing this honestly with me. Your openness helps us understand your routine better, and your privacy is always fully respected.","That is excellent, [Name]. Keeping away from these habits is a wonderful way to protect your health and wellbeing."
Physical,Tobacco use,"Sometimes people use small habits to cope with daily stress. [Name], do you currently use any tobacco products, bidi, cigarettes, or paan masala?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","I hear you clearly, [Name]. Thank you for speaking so openly with me today; your personal thoughts and answers are always respected here.",That is very good to hear. It is wonderful that you are keeping your body clean and focused on healthy habits.
Physical,Tobacco use,"[Name], please feel free to tell me - do you take any smoking items or smokeless tobacco like gutka or paan these days?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for your honesty. There is absolutely no judgment here, and we completely respect you for sharing your daily routine so transparently.","That is great, [Name]! It sounds like you are making wonderful choices to keep your body feeling healthy and strong."
Physical,Tobacco use,"[Name], to help me understand your lifestyle, have you taken any tobacco products like cigarettes, khaini, paan, or zarda lately?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for sharing this honestly with me. Your openness helps us understand your routine better, and your privacy is always fully respected.","That is excellent, [Name]. Keeping away from these habits is a wonderful way to protect your health and wellbeing."
Physical,Tobacco use,"[Name]. Have you used any tobacco items like cigarettes, khaini, paan, or gutka this week?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","I hear you clearly, [Name]. Thank you for speaking so openly with me today; your personal thoughts and answers are always respected here.",That is very good to hear. It is wonderful that you are keeping your body clean and focused on healthy habits.
Physical,Tobacco use,"[Name], did you use any smoking items or chewing tobacco packets like paan in these past few days?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for your honesty. There is absolutely no judgment here, and we completely respect you for sharing your daily routine so transparently.","That is great, [Name]! It sounds like you are making wonderful choices to keep your body feeling healthy and strong."
Physical,Tobacco use,"[Name], did you smoke or chew any paan masala, bidi, or tobacco products this week?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for telling me the truth. It takes courage to speak about our daily habits, and your privacy is totally safe with me.",That is wonderful news! Staying away from tobacco is the best way to help your body recover its strength.
Physical,Tobacco use,"Have you been using any form of tobacco, like smoking or paan, gutka, to handle your stress lately, [Name]?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","I understand your situation, [Name]. Thank you for sharing your routine so transparently without holding anything back.",That is very reassuring to hear. Your dedication to keeping a healthy routine is wonderful for your recovery.
Physical,Tobacco use,"[Name], have you been chewing paan, khaini or smoking cigarettes to find some relief from your worries these days?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for being so upfront. Facing a tough illness brings many urges, and we completely respect your open answer today.",I am so glad to know that! Keeping your body free from any tobacco habits brings a lot of peace to my mind.
Physical,Tobacco use,"[Name], did you use any tobacco items or cigarettes to find relief during these past days?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for trusting me with this update. Your comfort is what matters most, and we respect your honest response today.","That is excellent, [Name]. It is great to see that you are maintaining such clean and positive daily habits."
Physical,Tobacco use,"[Name], may I ask if you have a habit of using tobacco in any form, like smoking cigarettes, beedi, or chewing packets from the shop?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","Thank you for sharing this honestly with me. Your openness helps us understand your routine better, and your privacy is always fully respected.","That is excellent, [Name]. Keeping away from these habits is a wonderful way to protect your health and wellbeing."
Physical,Tobacco use,"To better understand your health, may I ask - do you currently use cigarettes, beedi, or any smokeless forms like gutka, paan, or chewing tobacco?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""",I appreciate your response. Please feel comfortable - your feelings are completely valid and respected.,"That's really wonderful to know, [Name]. I'm glad you're taking care of yourself and listening to your body."
Physical,Tobacco use,"Have you been using any form of tobacco, like smoking or paan, gutka, to handle your stress lately, [Name]?","A person shared that when they feel upset or stressed, they may use gutka, pan, or chewing tobacco. They said, ""Usage of gutka, pan, and chewing tobacco.""","I understand your situation, [Name]. Thank you for sharing your routine so transparently without holding anything back.",That is very reassuring to hear. Your dedication to keeping a healthy routine is wonderful for your recovery.
Physical,Substance use,"Taking a small step forward, [Name]. Sometimes when the body or mind feels heavy, people drink a little alcohol or take extra tablets from the shop to feel relaxed. In this past week, did you have to use anything like that?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for being so honest with me, [Name]. It takes a lot of strength to handle this, and your body deserves all the quiet rest it can get right now.","[Name], I am glad to know that. Thank you for sharing this with me."
Physical,Substance use,"People sometimes try small ways to relax. [Name], this week did you take any alcohol or extra sleeping pills to help you cope?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for being so honest with me, [Name]. It takes a lot of strength to handle this, and your body deserves all the quiet rest it can get right now.","[Name], I am glad to know that. Thank you for sharing this with me."
Physical,Substance use,"[Name], because of the physical stress, did you have to use any drinks like alcohol or extra tablets from the medical store to calm your mind?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for sharing your heart so openly. Managing this journey is a big task, and it is completely okay to just sit quietly and rest today.","That is very reassuring, [Name]. It is wonderful that you are navigating these tough days with a calm and steady mind."
Physical,Substance use,"Sometimes when the body hurts or we get tension, we look for quick relief. [Name], did you use any alcohol or extra pills this week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""",I truly appreciate your honesty with me today. Please take a deep breath and give yourself permission to just relax your body naturally.,"Thank you for letting me know, [Name]. It is great that you are keeping your habits healthy and steady during this time."
Physical,Substance use,"[Name], did you find yourself needing a little alcohol or any extra medicines to help you handle the stress or discomfort this past week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for trusting me with this. Facing tough times takes a lot of patience, and your comfort and peace are the most important things right now.","That is a very good thing, [Name]. It is wonderful to hear that you don't need any extra substances to manage your daily routine."
Physical,Substance use,"[Name], did you find yourself needing a little alcohol or any extra medicines to help you stay calm this past week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for being so honest with me, [Name]. It takes a lot of strength to handle this, and your body deserves rest.","[Name], I am glad to know that. Thank you for sharing this with me."
Physical,Substance use,"When the body hurts, we might take extra sleeping tablets or have alcohol to relax, [Name]. Did you do any of these recently?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for sharing your heart so openly. Managing this journey is a big task, and it is completely okay to just rest today.","That is very reassuring, [Name]. It is wonderful that you are navigating these tough days with a calm and steady mind."
Physical,Substance use,"[Name], did you drink any alcohol or take extra pills from the medical store this week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""",I truly appreciate your honesty with me today. Please take a deep breath and give yourself permission to just relax.,"Thank you for letting me know, [Name]. It is great that you are keeping your habits healthy and steady during this time."
Physical,Substance use,"[Name], did you need any extra syrups, pain pills, or alcoholic drinks to help you feel calm inside this week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","I hear your words, [Name]. It takes an immense amount of inner power to speak about these things, and I respect you for it.",That brings a lot of comfort to my mind. It is great that you are facing this path with a perfectly clear head.
Physical,Substance use,"Taking a small step forward, [Name]. Sometimes when the body or mind feels heavy, people drink a little alcohol or take extra tablets from the shop to feel relaxed. In this past week, did you have to use anything like that?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","Thank you for being so open. Juggling an illness is hard, and we respect your transparent answer from the bottom of our heart.",That is excellent news! Managing your daily health updates without any extra substances shows wonderful strength.
Physical,Substance use,"Sometimes when the body hurts or we get tension, we look for quick relief. [Name], did you use any alcohol or extra pills this week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""",I truly appreciate your honesty with me today. Please take a deep breath and give yourself permission to just relax your body naturally.,"Thank you for letting me know, [Name]. It is great that you are keeping your habits healthy and steady during this time."
Physical,Substance use,"[Name], did you take any alcoholic drinks or extra tablets to get some relief this week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","I hear you clearly, [Name]. Thank you for being so incredibly brave and transparent about your coping steps today.",That is a very positive sign. It is wonderful that you are holding onto your natural strength during these heavy days.
Physical,Substance use,"[Name], did you choose to have any alcohol or extra tablets from the shop, this past week?","A person said that when she was very sick and had many thoughts, she tried drinking alcohol to feel better. She said, ""I had a lot of thoughts because I was so sick that I wanted to drink alcohol to take my mind off it. Eee…. I tried to drink alcohol to reduce my thoughts because I had a lot of thoughts in my head.""","I hear you, [Name]. Thank you for speaking so transparently; your trust means a lot, and we respect your boundaries completely.",That is wonderful to hear. Keeping your routine completely free from these substances is an excellent choice for health.
